,smiles
206,Clc1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)c(Cl)c1
207,Cc1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1
208,CCc1ccc2ncnc(NCc3ccc(OC)cc3)c2c1
209,COc1ccc2c(NCc3ccccc3)ncnc2c1
210,COc1ccc(Nc2ncnc3ccc(Br)cc23)cc1
211,COc1cc2ncnc(Nc3ccc(O)c(C(=O)O)c3)c2cc1OC
212,COc1cc2ncnc(Nc3ccc4c(c3)OCCO4)c2cc1OC
213,COc1cc2ncnc(Nc3cccc(C(=O)O)c3)c2cc1OC
214,CC(C)(C)c1ccc(C(=O)NCc2ccccc2)cc1
215,COc1ccc(Nc2ncnc3ccccc23)cc1
216,COc1cc2ncnc(Nc3cc(Cl)cc(Cl)c3)c2cc1OC
217,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1
218,COc1cc2ncnc(Nc3ccc(N(C)C)cc3)c2cc1OC
219,COc1cc2ncnc(Nc3c(C)cccc3C)c2cc1OC
220,COc1cc2ncnc(Nc3cccc(NC(C)=O)c3)c2cc1OC
221,COc1cc2ncnc(Nc3ccc(N4CCN(C)CC4)cc3)c2cc1OC
222,O=C(O)c1ccc(Br)cc1
223,Cc1ccc2ncnc(NC3CCCCC3)c2c1
224,CC(=O)c1cccc(NC(=O)C(=O)NCCNC(=O)c2cc3ccccc3[nH]2)c1
225,COc1cc2ncnc(Nc3ccc4cn[nH]c4c3)c2cc1OC
226,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1
227,COc1cc2ncnc(NCc3ccc(Cl)cc3)c2cc1OC
228,O=C(O)CCCC1C(=O)Nc2ccccc21
229,O=C(O)CC1C(=O)Nc2ccccc21
230,O=C(O)CCC1C(=O)Nc2ccccc21
231,CCOC(=O)c1sc(N2N=C(c3ccc(OC)cc3)CC2c2ccc(OC)cc2)nc1C
232,COc1ccc(Nc2ncnc3ccc([N+](=O)[O-])cc23)cc1
233,Cc1ccc2ncnc(Nc3cc(C(=O)O)ccc3C)c2c1
